CameraID,Species,Transect,FilemeName,VideoLength,StayLarge,CensoredLarge,SmallFocalArea,StaySmall,CensoredSmall,DateTime
1,BlueDuiker,GL,PICT0027,30,5.5,1,1,1.8,1,2011/7/13 9:32
1,BlueDuiker,GL,PICT0028,30,10.1,1,1,6.2,1,2011/7/14 11:27
1,BlueDuiker,GL,PICT0032,30,24.3,1,1,2.2,1,2011/7/17 16:51
1,BlueDuiker,GL,PICT0037,30,10.8,1,0,NA,NA,2011/7/18 14:00
1,BlueDuiker,GL,PICT0044,30,9.2,1,0,NA,NA,2011/7/22 13:45
1,BlueDuiker,GL,PICT0048,30,5.3,1,0,NA,NA,2011/7/24 15:22
1,BlueDuiker,GL,PICT0049,30,6.9,1,1,3.7,1,2011/7/25 15:12
1,BlueDuiker,GL,PICT0052,30,1,1,1,0.8,1,2011/7/26 9:18
1,BlueDuiker,GL,PICT0054,10,NA,NA,0,NA,NA,2011/7/27 10:09
1,RedDuiker,GL,PICT0055,10,NA,NA,0,NA,NA,2011/8/2 17:38
1,BlueDuiker,GL,PICT0057,10,NA,NA,0,NA,NA,2011/8/4 14:03
1,BlueDuiker,GL,PICT0060,10,NA,NA,1,1.1,1,2011/8/6 8:59
1,BlueDuiker,GL,PICT0061,10,NA,NA,1,NA,NA,2011/8/7 10:09
1,BlueDuiker,GL,PICT0062,10,NA,NA,1,NA,NA,2011/8/7 16:27
1,BlueDuiker,GL,PICT0064,10,NA,NA,1,4.1,1,2011/8/8 14:17
1,BlueDuiker,GL,PICT0065,10,NA,NA,1,1.1,1,2011/8/9 12:00
1,BlueDuiker,GL,PICT0068,10,NA,NA,0,NA,NA,2011/8/11 16:19
1,BlueDuiker,GL,PICT0069,10,NA,NA,1,NA,NA,2011/8/12 8:37
1,BlueDuiker,GL,PICT0070,10,NA,NA,0,NA,NA,2011/8/14 10:45
1,BlueDuiker,GL,PICT0072,10,NA,NA,0,NA,NA,2011/8/15 6:46
1,BlueDuiker,GL,PICT0074,10,NA,NA,0,NA,NA,2011/8/15 10:28
1,BlueDuiker,GL,PICT0075,10,NA,NA,0,NA,NA,2011/8/16 15:12
