"ID","Project.Name","Camera.Trap.Name","Latitude","Longitude","Sampling.Event","Photo.Type","Photo.Date","Photo.time","Raw.Name","Class","Order","Family","Genus","Species","Number.of.Animals","Person.Identifying.the.Photo","Camera.Serial.Number","Camera.Start.Date","Camera.End.Date","Person.setting.up.the.Camera","Person.picking.up.the.Camera","Camera.Manufacturer","Camera.Model","Sequence.Info","Moon.Phase","Temperature","Flash","Organization.Name"
1,"FNS","CT-FNS-1-1",-16.814,-48.65228,2019,NA,2019-11-10,"12:30:30","11100001.JPG","","","","","",NA,"",NA,2019-11-10,2019-11-29,"Mariella Butti","Mariella Butti","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
2,"FNS","CT-FNS-1-1",-16.814,-48.65228,2019,NA,2019-11-10,"12:31:19","11100024.JPG","","","","","",NA,"",NA,2019-11-10,2019-11-29,"Mariella Butti","Mariella Butti","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
3,"FNS","CT-FNS-1-1",-16.814,-48.65228,2019,NA,2019-11-14,"03:56:05","11140044.JPG","MAMMALIA","CETARTIODACTYLA","CERVIDAE","Mazama","",1,"Ludmila Tavares e Almeida",NA,2019-11-10,2019-11-29,"Mariella Butti","Mariella Butti","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
4,"FNS","CT-FNS-1-1",-16.814,-48.65228,2019,NA,2019-11-14,"03:56:06","11140045.JPG","MAMMALIA","CETARTIODACTYLA","CERVIDAE","Mazama","",1,"Ludmila Tavares e Almeida",NA,2019-11-10,2019-11-29,"Mariella Butti","Mariella Butti","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
5,"FNS","CT-FNS-1-1",-16.814,-48.65228,2019,NA,2019-11-14,"03:56:07","11140046.JPG","MAMMALIA","CETARTIODACTYLA","CERVIDAE","Mazama","",1,"Ludmila Tavares e Almeida",NA,2019-11-10,2019-11-29,"Mariella Butti","Mariella Butti","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
6,"FNS","CT-FNS-1-1",-16.814,-48.65228,2019,NA,2019-11-14,"03:56:11","11140047.JPG","MAMMALIA","CETARTIODACTYLA","CERVIDAE","Mazama","",1,"Ludmila Tavares e Almeida",NA,2019-11-10,2019-11-29,"Mariella Butti","Mariella Butti","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
7,"FNS","CT-FNS-1-1",-16.814,-48.65228,2019,NA,2019-11-14,"03:56:12","11140048.JPG","MAMMALIA","CETARTIODACTYLA","CERVIDAE","Mazama","",1,"Ludmila Tavares e Almeida",NA,2019-11-10,2019-11-29,"Mariella Butti","Mariella Butti","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
8,"FNS","CT-FNS-1-1",-16.814,-48.65228,2019,NA,2019-11-14,"03:56:13","11140049.JPG","MAMMALIA","CETARTIODACTYLA","CERVIDAE","Mazama","",1,"Ludmila Tavares e Almeida",NA,2019-11-10,2019-11-29,"Mariella Butti","Mariella Butti","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
9,"FNS","CT-FNS-1-1",-16.814,-48.65228,2019,NA,2019-11-17,"02:28:35","11170050.JPG","MAMMALIA","PILOSA","MYRMECOPHAGIDAE","Tamandua","tetradactyla",1,"Ludmila Tavares e Almeida",NA,2019-11-10,2019-11-29,"Mariella Butti","Mariella Butti","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
10,"FNS","CT-FNS-1-1",-16.814,-48.65228,2019,NA,2019-11-17,"02:28:36","11170051.JPG","MAMMALIA","PILOSA","MYRMECOPHAGIDAE","Tamandua","tetradactyla",1,"Ludmila Tavares e Almeida",NA,2019-11-10,2019-11-29,"Mariella Butti","Mariella Butti","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
11,"FNS","CT-FNS-1-1",-16.814,-48.65228,2019,NA,2019-11-17,"02:28:37","11170052.JPG","MAMMALIA","PILOSA","MYRMECOPHAGIDAE","Tamandua","tetradactyla",1,"Ludmila Tavares e Almeida",NA,2019-11-10,2019-11-29,"Mariella Butti","Mariella Butti","Bushnell","Tropy Cam HD",NA,NA,NA,NA,"ICMBio/CENAP"
